Type,No.,Address,City,St.,Opened,Closed,County
Discount Store,424,610 7th Street South,Clanton,Alabama,"August 3, 1982",June 1994,Chilton County
Supercenter,424,1415 7th Street South,Clanton,Alabama,June 1994,,Chilton County
Discount Store,670,1619 Town Square Southwest,Cullman,Alabama,"July 4, 1981",1986,N/A
Discount Store,670,1656 Town Square Southwest,Cullman,Alabama,1986,1990,N/A
Discount Store,670,1700 2nd Avenue Southwest,Cullman,Alabama,1990,"April 16, 2002",N/A
Supercenter,670,626 Olive Street Southwest,Cullman,Alabama,"April 17, 2002",,Cullman County
Supercenter,7280,5601 Highway 157,Cullman,Alabama,"November 11, 2015",,N/A
Discount Store,934,"Magnolia Place Shopping Center, 27955 Highway 98",Daphne,Alabama,"July 15, 1986","April 25, 1995",N/A
Supercenter,934,27520 Highway 98,Daphne,Alabama,"April 26, 1995",,Baldwin County
Discount Store,662,"Southland Plaza, 2019 6th Avenue",Decatur,Alabama,"July 23, 1981","July 19, 1982",N/A
Discount Store,662,"Beltline Plaza, 1682 Beltline Road Southwest",Decatur,Alabama,"July 20, 1982","March 17, 1992",N/A
Discount Store,662,1605 Beltline Road Southwest,Decatur,Alabama,"March 18, 1992","October 24, 2000",Morgan County
Supercenter,662,"English Village Shopping Center, 2800 Spring Avenue Southwest",Decatur,Alabama,"October 25, 2000",,N/A
Neighborhood Market,2488,1203 6th Avenue Southeast,Decatur,Alabama,"April 19, 2013",,Morgan County
Discount Store,731,"Wal-Mart Plaza, 1620 US Highway 80 East",Demopolis,Alabama,"July 4, 1981",January 1997,N/A
Discount Store,731,505 US Highway 80 West,Demopolis,Alabama,January 1997,"January 22, 2006",N/A
Supercenter,731,969 US Highway 80 West,Demopolis,Alabama,"January 23, 2006",,N/A
Discount Store,604,"Northside Mall, 3489 Ross Clark Circle",Dothan,Alabama,"November 15, 1983","October 15, 2002",N/A
Supercenter,604,4310 Montgomery Highway,Dothan,Alabama,"October 16, 2002",,Houston County
Supercenter,2534,3300 South Oates Street,Dothan,Alabama,"May 21, 1997",,Houston County
Neighborhood Market,5769,3871 West Main Street,Dothan,Alabama,"March 16, 2016",,Houston County
Discount Store,734,"Enterprise Shopping Center, 630 Boll Weevil Circle",Enterprise,Alabama,"July 4, 1981","April 13, 1993",N/A
Supercenter,734,600 Boll Weevil Circle,Enterprise,Alabama,"April 14, 1993",,Coffee County
Discount Store,1638,1252 South Eufaula Avenue,Eufaula,Alabama,"November 14, 1990","March 9, 2010",Barbour County
Supercenter,1638,3176 South Eufaula Avenue,Eufaula,Alabama,"March 10, 2010",,Barbour County
