Year,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Mean income (dollars),Median income (dollars)
2011,0.027999999999999997,0.20600000000000002,0.071,0.08900000000000001,0.092,0.09,0.10099999999999999,0.153,0.114,0.055999999999999994,98919.0,75252.0
2012,0.03,0.205,0.066,0.091,0.094,0.069,0.107,0.158,0.124,0.054000000000000006,99967.0,77290.0
2013,0.027999999999999997,0.21600000000000003,0.07200000000000001,0.087,0.10099999999999999,0.061,0.111,0.152,0.13,0.044000000000000004,103261.0,78566.0
2014,0.025,0.213,0.066,0.091,0.098,0.07,0.106,0.165,0.11800000000000001,0.048,104082.0,77654.0
2015,0.022000000000000002,0.218,0.067,0.095,0.09699999999999999,0.063,0.106,0.152,0.124,0.055,104222.0,80357.0
2016,0.022000000000000002,0.245,0.059000000000000004,0.076,0.09699999999999999,0.049,0.111,0.153,0.131,0.06,102721.0,82352.0
2017,0.021,0.248,0.05,0.085,0.096,0.055999999999999994,0.102,0.146,0.129,0.066,103984.0,84712.0
2018,0.02,0.24,0.049,0.091,0.098,0.054000000000000006,0.11199999999999999,0.14300000000000002,0.129,0.065,105834.0,85858.0
2019,0.017,0.23199999999999998,0.039,0.10400000000000001,0.12300000000000001,0.04,0.10800000000000001,0.135,0.14400000000000002,0.055999999999999994,117558.0,92227.0
2020,0.015,0.251,0.034,0.111,0.146,0.036000000000000004,0.10099999999999999,0.139,0.122,0.045,125048.0,101007.0
2021,0.021,0.253,0.036000000000000004,0.12,0.171,0.025,0.102,0.154,0.1,0.019,137335.0,108569.0
2022,0.019,0.222,0.037000000000000005,0.175,0.195,0.018000000000000002,0.083,0.13,0.106,0.015,151767.0,120195.0
2023,0.019,0.225,0.032,0.171,0.213,0.033,0.07200000000000001,0.129,0.08800000000000001,0.018000000000000002,153467.0,127386.0
