Year,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Mean income (dollars),Median income (dollars)
2011,0.11199999999999999,0.064,0.174,0.011000000000000001,0.024,0.125,0.142,0.12300000000000001,0.102,0.12300000000000001,48683.0,32044.0
2012,0.11699999999999999,0.064,0.198,0.015,0.021,0.128,0.147,0.11,0.079,0.12,47565.0,30632.0
2013,0.124,0.067,0.21600000000000003,0.012,0.017,0.11699999999999999,0.126,0.11699999999999999,0.07200000000000001,0.131,44360.0,26950.0
2014,0.11900000000000001,0.065,0.217,0.01,0.019,0.102,0.157,0.10800000000000001,0.07,0.131,44380.0,27757.0
2015,0.12,0.064,0.188,0.012,0.023,0.11699999999999999,0.149,0.125,0.079,0.12300000000000001,46603.0,30300.0
2016,0.08900000000000001,0.073,0.18899999999999997,0.01,0.025,0.132,0.16899999999999998,0.11599999999999999,0.065,0.132,47864.0,31267.0
2017,0.08800000000000001,0.059000000000000004,0.179,0.011000000000000001,0.023,0.132,0.147,0.142,0.087,0.132,47629.0,32023.0
2018,0.092,0.063,0.158,0.015,0.016,0.14400000000000002,0.145,0.151,0.099,0.11800000000000001,48062.0,33979.0
2019,0.085,0.057,0.142,0.021,0.015,0.153,0.135,0.166,0.099,0.126,49081.0,34656.0
2020,0.107,0.061,0.155,0.02,0.024,0.156,0.139,0.151,0.085,0.10300000000000001,50635.0,34075.0
2021,0.114,0.09699999999999999,0.138,0.016,0.023,0.121,0.149,0.16,0.094,0.087,52896.0,36638.0
2022,0.111,0.10400000000000001,0.114,0.02,0.033,0.107,0.154,0.172,0.095,0.08900000000000001,59150.0,39899.0
2023,0.10800000000000001,0.122,0.124,0.022000000000000002,0.045,0.11,0.132,0.14,0.10300000000000001,0.094,63274.0,41669.0
