Year,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Mean income (dollars),Median income (dollars)
2011,0.046,0.17,0.065,0.055999999999999994,0.01,0.066,0.168,0.23399999999999999,0.126,0.06,68586.0,61662.0
2012,0.045,0.159,0.085,0.049,0.013000000000000001,0.067,0.159,0.243,0.127,0.053,67937.0,61257.0
2013,0.044000000000000004,0.188,0.087,0.044000000000000004,0.026000000000000002,0.085,0.124,0.254,0.114,0.033,72879.0,64572.0
2014,0.040999999999999995,0.16899999999999998,0.08900000000000001,0.043,0.034,0.09,0.124,0.25,0.126,0.036000000000000004,78154.0,63774.0
2015,0.032,0.17300000000000001,0.094,0.037000000000000005,0.040999999999999995,0.10800000000000001,0.141,0.253,0.10099999999999999,0.02,78358.0,63153.0
2016,0.026000000000000002,0.158,0.083,0.063,0.043,0.09300000000000001,0.11800000000000001,0.26,0.126,0.031,81598.0,65502.0
2017,0.032,0.17800000000000002,0.063,0.064,0.043,0.1,0.127,0.198,0.14,0.055,82695.0,67929.0
2018,0.023,0.171,0.062,0.07,0.043,0.099,0.142,0.182,0.151,0.055999999999999994,82633.0,67190.0
2019,0.023,0.172,0.051,0.083,0.048,0.08,0.129,0.16899999999999998,0.179,0.066,83497.0,71532.0
2020,0.034,0.18,0.057,0.122,0.055999999999999994,0.067,0.102,0.163,0.147,0.07200000000000001,91880.0,75487.0
2021,0.036000000000000004,0.235,0.063,0.055999999999999994,0.124,0.055,0.08,0.16,0.12,0.071,97427.0,81396.0
2022,0.033,0.19899999999999998,0.07200000000000001,0.10099999999999999,0.131,0.071,0.071,0.096,0.179,0.047,105285.0,86937.0
2023,0.038,0.24100000000000002,0.071,0.113,0.134,0.06,0.042,0.12,0.136,0.046,111877.0,96081.0
