Year,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Mean income (dollars),Median income (dollars)
2011,0.055,0.129,0.115,0.03,0.018000000000000002,0.12,0.161,0.18,0.14300000000000002,0.05,62958.0,49952.0
2012,0.057,0.114,0.105,0.031,0.016,0.129,0.16399999999999998,0.193,0.136,0.053,60664.0,47475.0
2013,0.057,0.129,0.111,0.028999999999999998,0.019,0.128,0.13699999999999998,0.196,0.13,0.064,62232.0,50385.0
2014,0.07,0.141,0.115,0.027999999999999997,0.023,0.129,0.13,0.18600000000000003,0.107,0.071,61449.0,46818.0
2015,0.07400000000000001,0.129,0.114,0.021,0.026000000000000002,0.10400000000000001,0.157,0.193,0.102,0.08,60840.0,46197.0
2016,0.078,0.102,0.113,0.028999999999999998,0.027999999999999997,0.10800000000000001,0.146,0.201,0.114,0.08199999999999999,60823.0,46452.0
2017,0.078,0.11800000000000001,0.121,0.036000000000000004,0.031,0.105,0.13699999999999998,0.183,0.10300000000000001,0.08900000000000001,63389.0,46331.0
2018,0.055,0.11,0.11199999999999999,0.043,0.040999999999999995,0.095,0.14800000000000002,0.183,0.10800000000000001,0.10400000000000001,69178.0,48726.0
2019,0.047,0.111,0.10800000000000001,0.047,0.036000000000000004,0.091,0.165,0.177,0.121,0.09699999999999999,70143.0,49377.0
2020,0.032,0.122,0.131,0.05,0.031,0.091,0.183,0.15,0.13,0.08,76339.0,48093.0
2021,0.03,0.156,0.121,0.06,0.039,0.099,0.16399999999999998,0.151,0.10400000000000001,0.076,82417.0,51101.0
2022,0.044000000000000004,0.156,0.128,0.059000000000000004,0.043,0.09300000000000001,0.166,0.163,0.092,0.057,84689.0,51155.0
2023,0.046,0.163,0.106,0.07400000000000001,0.038,0.08,0.156,0.17800000000000002,0.10800000000000001,0.05,80773.0,56268.0
