year,synthetic_outcome,actual_outcome
1990,16144.76677088357,5917
1991,15413.848101688256,5988
1992,15553.416256463886,5758
1993,15817.56423300453,6176
1994,16585.90271517981,6238
1995,17129.283308646307,6173
1996,17578.072658882676,6160
1997,17861.13706867265,6564
1998,17790.836349159224,6797
1999,18579.400253469343,6954
2000,18848.392109764463,7187
2001,18813.459347512886,7288
2002,18357.478494072024,7241
2003,18783.033369029617,7020
2004,18904.83972839855,7142
2005,18950.820628876038,6759
2006,18466.85665005993,6535
2007,17985.826412939976,6628
2008,17240.942292420375,6566
2009,16317.142127935089,6255
2010,16380.420839280408,6330
2011,16326.000462463457,6349
2012,16334.04576018916,6428
2013,16447.38060716899,6290
2014,16417.29243638652,6387
2015,16455.759442103565,6278
2016,16502.20945562875,6367
2017,16050.172224352344,6306
2018,15725.17406380739,6288
2019,15627.64865966579,6330
2020,14329.354691602975,5932
2021,15225.29117112265,6030
2022,15254.31190475383,6013
2023,15208.728288733031,6073
