
========== RESULTS FOR ANDROSCOGGIN_COUNTY ==========
Treatment year: 2001

----- retail_priv_employment -----
Control weights:
  36061: 0.0680
  41013: 0.0539
  51570: 0.0530
  72033: 0.0395
  72127: 0.0158
  6081: 0.0150
  2185: 0.0134
  51600: 0.0109
  36081: 0.0102
  29189: 0.0094
  9009: 0.0086
  72141: 0.0080
  46117: 0.0076
  72081: 0.0072
  9003: 0.0070
  72107: 0.0065
  72001: 0.0064
  51810: 0.0057
  25007: 0.0054
  6075: 0.0053
  49015: 0.0051
  24510: 0.0049
  72047: 0.0042
  37181: 0.0040
  72079: 0.0040
  40043: 0.0039
  20031: 0.0039
  49027: 0.0038
  22087: 0.0038
  72057: 0.0037
  21089: 0.0037
  72101: 0.0036
  48425: 0.0034
  32015: 0.0034
  51580: 0.0034
  38081: 0.0034
  72055: 0.0034
  21223: 0.0033
  16029: 0.0032
  48109: 0.0032
  8103: 0.0031
  31167: 0.0031
  22093: 0.0031
  72085: 0.0030
  8031: 0.0029
  29197: 0.0029
  18165: 0.0028
  72017: 0.0028
  32027: 0.0027
  72021: 0.0027
  21007: 0.0027
  21163: 0.0027
  30087: 0.0026
  39105: 0.0026
  22125: 0.0026
  54073: 0.0026
  12045: 0.0025
  72145: 0.0025
  20093: 0.0024
  72019: 0.0023
  51109: 0.0023
  72123: 0.0023
  48297: 0.0023
  72097: 0.0023
  21131: 0.0022
  51051: 0.0022
  26003: 0.0021
  51670: 0.0021
  26131: 0.0021
  31049: 0.0021
  51720: 0.0021
  2240: 0.0021
  22031: 0.0021
  2201: 0.0021
  72065: 0.0021
  26149: 0.0021
  49013: 0.0020
  48065: 0.0020
  21119: 0.0020
  72005: 0.0020
  42093: 0.0020
  47073: 0.0020
  26103: 0.0020
  72131: 0.0020
  27029: 0.0020
  48495: 0.0020
  27085: 0.0020
  1131: 0.0020
  45049: 0.0019
  20007: 0.0019
  48161: 0.0019
  19139: 0.0019
  20163: 0.0019
  54059: 0.0018
  40003: 0.0018
  48103: 0.0018
  21191: 0.0017
  40093: 0.0017
  8033: 0.0017
  21153: 0.0017
  22007: 0.0017
  40059: 0.0017
  20089: 0.0017
  48175: 0.0017
  72069: 0.0017
  30055: 0.0017
  24001: 0.0017
  19151: 0.0017
  37175: 0.0017
  48151: 0.0016
  72115: 0.0016
  48417: 0.0016
  29085: 0.0016
  72041: 0.0016
  56009: 0.0016
  51093: 0.0016
  72143: 0.0015
  48507: 0.0015
  18129: 0.0015
  21025: 0.0015
  31051: 0.0015
  51101: 0.0015
  20053: 0.0015
  2290: 0.0015
  41049: 0.0015
  27071: 0.0015
  26007: 0.0015
  28161: 0.0014
  31087: 0.0014
  30095: 0.0014
  51099: 0.0014
  72091: 0.0014
  72035: 0.0014
  72077: 0.0014
  48413: 0.0014
  51683: 0.0014
  48501: 0.0014
  31127: 0.0014
  27137: 0.0014
  36003: 0.0014
  45009: 0.0014
  24037: 0.0014
  36089: 0.0014
  22037: 0.0013
  72063: 0.0013
  39141: 0.0013
  72045: 0.0013
  26153: 0.0013
  20137: 0.0013
  51680: 0.0013
  46041: 0.0013
  48105: 0.0013
  47007: 0.0013
  26091: 0.0013
  5099: 0.0012
