county_name,is_treatment,data_year,area_title,industry_code,industry_title,own_title,annual_avg_estabs_count,annual_avg_emplvl,annual_avg_wkly_wage,avg_annual_pay,total_annual_wages
bennington_county,0,1990,"Bennington County, Vermont",44-45,Retail trade,Private,316,2718,283,14713,39994968
bennington_county,0,1990,"Bennington County, Vermont",10,"Total, all industries",Private,1437,14096,356,18488,260616213
bennington_county,0,1990,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1525,15770,362,18846,297192177
bennington_county,0,1991,"Bennington County, Vermont",44-45,Retail trade,Private,323,2624,291,15142,39728223
bennington_county,0,1991,"Bennington County, Vermont",10,"Total, all industries",Private,1439,13585,368,19116,259699141
bennington_county,0,1991,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1528,15330,376,19561,299862194
bennington_county,0,1992,"Bennington County, Vermont",44-45,Retail trade,Private,334,2650,306,15938,42231771
bennington_county,0,1992,"Bennington County, Vermont",10,"Total, all industries",Private,1450,13732,393,20417,280365034
bennington_county,0,1992,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1540,15524,400,20797,322851814
bennington_county,0,1993,"Bennington County, Vermont",44-45,Retail trade,Private,347,2714,320,16615,45086049
bennington_county,0,1993,"Bennington County, Vermont",10,"Total, all industries",Private,1470,14112,386,20076,283308863
bennington_county,0,1993,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1560,15925,394,20465,325907170
bennington_county,0,1994,"Bennington County, Vermont",44-45,Retail trade,Private,344,2919,331,17215,50258572
bennington_county,0,1994,"Bennington County, Vermont",10,"Total, all industries",Private,1440,14680,395,20562,301839496
bennington_county,0,1994,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1532,16557,404,20986,347453364
bennington_county,0,1995,"Bennington County, Vermont",44-45,Retail trade,Private,348,3074,326,16948,52103627
bennington_county,0,1995,"Bennington County, Vermont",10,"Total, all industries",Private,1461,15242,399,20728,315926094
bennington_county,0,1995,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1552,17117,408,21216,363138487
bennington_county,0,1996,"Bennington County, Vermont",44-45,Retail trade,Private,355,3170,329,17109,54240134
bennington_county,0,1996,"Bennington County, Vermont",10,"Total, all industries",Private,1471,15574,407,21144,329295041
bennington_county,0,1996,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1564,17472,416,21608,377543437
bennington_county,0,1997,"Bennington County, Vermont",44-45,Retail trade,Private,352,3106,334,17343,53866676
bennington_county,0,1997,"Bennington County, Vermont",10,"Total, all industries",Private,1487,15644,436,22672,354690642
bennington_county,0,1997,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1580,17556,444,23095,405441275
bennington_county,0,1998,"Bennington County, Vermont",44-45,Retail trade,Private,353,3142,341,17715,55657297
bennington_county,0,1998,"Bennington County, Vermont",10,"Total, all industries",Private,1490,16113,454,23595,380191214
bennington_county,0,1998,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1582,18036,461,23968,432275492
bennington_county,0,1999,"Bennington County, Vermont",44-45,Retail trade,Private,350,3236,354,18394,59526498
bennington_county,0,1999,"Bennington County, Vermont",10,"Total, all industries",Private,1495,16454,467,24290,399671639
bennington_county,0,1999,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1584,18553,474,24669,457671652
bennington_county,0,2000,"Bennington County, Vermont",44-45,Retail trade,Private,348,3296,371,19272,63518473
bennington_county,0,2000,"Bennington County, Vermont",10,"Total, all industries",Private,1522,16955,483,25106,425670381
bennington_county,0,2000,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1613,19147,490,25454,487376655
bennington_county,0,2001,"Bennington County, Vermont",44-45,Retail trade,Private,339,3350,395,20515,68722389
bennington_county,0,2001,"Bennington County, Vermont",10,"Total, all industries",Private,1523,16736,512,26600,445178302
bennington_county,0,2001,"Bennington County, Vermont",10,"Total, all industries",Total Covered,1612,18925,520,27044,511823942
bennington_county,0,2002,"Bennington County, Vermont",44-45,Retail trade,Private,334,3317,411,21348,70808585
