county_name,is_treatment,data_year,retail_priv_estabs_count,retail_priv_employment,retail_priv_annual_pay,retail_priv_weekly_wage,retail_priv_total_wages,all_priv_estabs_count,all_priv_employment,all_priv_annual_pay,all_priv_weekly_wage,all_priv_total_wages,all_tc_estabs_count,all_tc_employment,all_tc_annual_pay,all_tc_weekly_wage,all_tc_total_wages,retail_share_of_private_employment,retail_relative_wage
Androscoggin_County,1,1990,514,5917,13598,262,80465118,2510,36464,18396,354,670803786,2616,41216,18687,359,770214365,0.1622696358051777,0.7391824309632529
Androscoggin_County,1,1991,500,5988,13908,267,83277405,2530,35129,19061,367,669612937,2661,39800,19448,374,774018849,0.17045745680207236,0.729657415665495
Androscoggin_County,1,1992,498,5758,14684,282,84547517,2516,34624,19979,384,691757651,2646,39265,20327,391,798151123,0.16630083179297597,0.7349717203063216
Androscoggin_County,1,1993,497,6176,14214,273,87782170,2571,36307,20076,386,728888678,2702,40986,20486,394,839622201,0.17010493844162283,0.7080095636580992
Androscoggin_County,1,1994,483,6238,14898,287,92935660,2564,37512,20425,393,766190396,2694,42292,20823,400,880655909,0.1662934527617829,0.7294002447980417
Androscoggin_County,1,1995,481,6173,15184,292,93730579,2552,37832,21212,408,802503906,2694,42591,21612,416,920480578,0.16316874603510256,0.7158212332641901
Androscoggin_County,1,1996,475,6160,15920,306,98066489,2573,37609,22125,425,832086968,2714,42360,22529,433,954352063,0.1637905820415326,0.7195480225988701
Androscoggin_County,1,1997,484,6564,16251,313,106661526,2676,38114,23147,445,882243443,2809,42917,23453,451,1006523131,0.17222018156058141,0.7020780230699443
Androscoggin_County,1,1998,474,6797,17160,330,116631491,2690,39285,24076,463,945842511,2827,44210,24361,468,1077023203,0.17301769123074964,0.712742980561555
Androscoggin_County,1,1999,462,6954,18417,354,128076053,2695,40942,25161,484,1030155153,2828,46008,25367,488,1167070399,0.16985003175223487,0.7319661380708239
Androscoggin_County,1,2000,461,7187,19303,371,138730571,2688,42055,26037,501,1094990141,2829,47397,26206,504,1242087581,0.1708952562121032,0.7413680531551254
Androscoggin_County,1,2001,464,7288,20468,394,149166386,2746,41633,26892,517,1119583687,2888,47031,27092,521,1274176461,0.17505344318209112,0.7611185482671426
Androscoggin_County,1,2002,459,7241,21253,409,153893835,2732,42080,28344,545,1192722913,2875,47662,28435,547,1355265054,0.17207699619771863,0.749823595822749
Androscoggin_County,1,2003,453,7020,22360,430,156973784,2733,41952,29518,568,1238361249,2880,47469,29551,568,1402766062,0.16733409610983982,0.7575038959279083
Androscoggin_County,1,2004,464,7142,22910,441,163631941,2861,42069,30464,586,1281563905,3008,47668,30415,585,1449813726,0.16976871330433335,0.7520351890756303
Androscoggin_County,1,2005,454,6759,21331,410,144177961,2825,41785,31025,597,1296362665,2972,47380,31008,596,1469139857,0.1617566112241235,0.6875423045930701
Androscoggin_County,1,2006,459,6535,21989,423,143699643,2904,42621,32252,620,1374639066,3047,48172,32231,620,1552628822,0.15332817155862133,0.681787175989086
Androscoggin_County,1,2007,457,6628,22722,437,150590147,2972,43619,33103,637,1443905211,3127,49179,33118,637,1628718953,0.15195213095210802,0.686403045041235
Androscoggin_County,1,2008,465,6566,23060,443,151419014,2986,43536,34318,660,1494073164,3140,49056,34396,661,1687337265,0.15081771407570746,0.6719505798706218
